Paso,Posicion_X,Posicion_Y
103,13.4971,-2.24952
104,13.7592,-2.2932
105,14.0238,-2.3373
106,14.2909,-2.38182
107,14.5606,-2.42676
108,14.8327,-2.47212
109,15.1074,-2.5179
110,15.3846,-2.5641
111,15.6643,-2.61072
112,15.9466,-2.65776
113,16.2313,-2.70522
114,16.5186,-2.7531
115,16.8084,-2.8014
116,17.1007,-2.85012
117,17.3956,-2.89926
118,17.6929,-2.94882
119,17.9928,-2.9988
120,18.2952,-3.0492
121,18.6001,-3.10002
122,18.9076,-3.15126
123,19.2175,-3.20292
124,19.53,-3.255
125,19.845,-3.3075
126,20.1625,-3.36042
127,20.4826,-3.41376
128,20.8051,-3.46752
129,21.1302,-3.5217
130,21.4578,-3.5763
131,21.7879,-3.63132
132,22.1206,-3.68676
133,22.4557,-3.74262
134,22.7934,-3.7989
135,23.1336,-3.8556
136,23.4763,-3.91272
137,23.8216,-3.97026
138,24.1693,-4.02822
139,24.5196,-4.0866
140,24.8724,-4.1454
141,25.2277,-4.20462
142,25.5856,-4.26426
143,25.9459,-4.32432
144,26.3088,-4.3848
145,26.6742,-4.4457
146,27.0421,-4.50702
147,27.4126,-4.56876
148,27.7855,-4.63092
149,28.161,-4.6935
150,28.539,-4.7565
151,28.9195,-4.81992
152,29.3026,-4.88376
153,29.6881,-4.94802
154,30.0762,-5.0127
155,30.4668,-5.0778
156,30.8599,-5.14332
157,31.2556,-5.20926
158,31.6537,-5.27562
159,32.0544,-5.3424
160,32.4576,-5.4096
161,32.8633,-5.47722
162,33.2716,-5.54526
163,33.6823,-5.61372
164,34.0956,-5.6826
165,34.5114,-5.7519
166,34.9297,-5.82162
167,35.3506,-5.89176
168,35.7739,-5.96232
169,36.1998,-6.0333
170,36.6282,-6.1047
171,37.0591,-6.17652
172,37.4926,-6.24876
173,37.9285,-6.32142
174,38.367,-6.3945
175,38.808,-6.468
176,39.2515,-6.54192
177,39.6976,-6.61626
178,40.1461,-6.69102
179,40.5972,-6.7662
180,41.0508,-6.8418
181,41.5069,-6.91782
182,41.9656,-6.99426
183,42.4267,-7.07112
184,42.8904,-7.1484
185,43.3566,-7.2261
186,43.8253,-7.30422
187,44.2966,-7.38276
188,44.7703,-7.46172
189,45.2466,-7.5411
190,45.7254,-7.6209
191,46.2067,-7.70112
192,46.6906,-7.78176
193,47.1769,-7.86282
194,47.6658,-7.9443
195,48.1572,-8.0262
196,48.6511,-8.10852
197,49.1476,-8.19126
198,49.6465,-8.27442
199,50.148,-8.358
